hash,nonce,block_hash,block_number,transaction_index,from_address,to_address,value,gas,gas_price,input,block_timestamp,max_fee_per_gas,max_priority_fee_per_gas,transaction_type
0xe42a33347ec6af53a4ca81f39bf1c9af95ece582a4b195cdb471e882cc0b7b87,16,0xb76c54058fb9eb9590cf1140f8f4df429d2632fb2196b7b551bc1cbad84bcbb8,60002,0,0xf2d2aff1320476cb8c6b607199d23175cc595693,0xf5eedc192ab70b08d8354384ad94efd095849e00,98000000000000000000,90000,56582685008,0x,1439147273,,,0
0xcecf1e0adb943fcd8fbd5f6ecd27d16c028d5b26f6ac7cbe4e8962698cca87d6,4,0xaf0615219cf8b66cabdd0ca559cc27dfc070740489f5f83fd7afcdf717d00ee4,60003,0,0xc56e71225f1372c990e6829d53a1ab76d27301cf,0xa5fb3e4399e8f18643f969d0ce65cc352fc252c6,223000000000000000000,90000,60442654402,0x,1439147361,,,0
0xf417de45ccef630ffad3ddc88dbf40aacfe9f29391df01dd77721964c4574e1c,1,0xaf0615219cf8b66cabdd0ca559cc27dfc070740489f5f83fd7afcdf717d00ee4,60003,1,0x86889b1cea13d370e827e099e3778b17d488b3dd,0x109c4f2ccc82c4d77bde15f306707320294aea3f,1000000000000000000,500000,59234020395,0x,1439147361,,,0
0x09ac27043afe74a1dc237da78ff5d130a937fc328596785b2cfee4c3a4fdf3d7,37,0xaf0615219cf8b66cabdd0ca559cc27dfc070740489f5f83fd7afcdf717d00ee4,60003,2,0x3d0768da09ce77d25e2d998e6a7b6ed4b9116c2d,0x37fdd436c4f06bbd63a93da53ec3ea91645f8866,999000000000000000,21000,59088242020,0x,1439147361,,,0
0xb24d20c2641703c30c3de0f09f2220f8b7e4458885b4fc19b72e5ea8daf15bf2,0,0xaf0615219cf8b66cabdd0ca559cc27dfc070740489f5f83fd7afcdf717d00ee4,60003,3,0x667f01423a28c172e9593779554952b0c2c6524d,0x32be343b94f860124dc4fee278fdcbd38c102d88,1993775010000000000,21000,57768233563,0x,1439147361,,,0
0x16ad3573552c66a91e2531189ce6ab034108a87218fffeec93e90dfe355c370d,0,0x2a76115c9e5bfcc1ee26325738d4a879d483c2196f7a471797a9be6b2ed2c5eb,60007,0,0x8aeeb005ce1a716447becc2fd3896685b0decd4c,0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,382541710000000000,90000,59634372769,0x,1439147420,,,0
0x3961ac16b0c3cb8e625166d0bba3f8a1db2c736527a61ddc91632e36a0885a94,0,0xdf389df50387eaccd6866b260c85bf26e133651526c067a4d8f01abb809f12a5,60008,0,0x739f8ab33a41b67952f16778e3cc6d2decc3a2d5,0x0927220492194b2eda9fc4bbe38f25d681dfd36c,1,90000,1137771799223,0x,1439147454,,,0
0x57904aad970c31e1f3ee038e016d655c253082d970b8dd08d1a0f122b50f2984,3,0xdf389df50387eaccd6866b260c85bf26e133651526c067a4d8f01abb809f12a5,60008,1,0x8155fa6c51eb31d808412d748aa086105018122f,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,1000000000000000000,22000,56349436964,0x454e5a55464d544330,1439147454,,,0
0x98c0c88286da70c8174baed52b9f8f8ec6613bdba1782e8e27723164dcd3d563,1,0xdf389df50387eaccd6866b260c85bf26e133651526c067a4d8f01abb809f12a5,60008,2,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0x6a6d69d85a96de30fafbc28fe5560c221f0314e6,4995000000000000000,21000,55673617940,0x,1439147454,,,0
